Date,"Average consumption, electric (kWh/100km)",Distance driven (km),Driving time (h),Average speed (km/h)
2016-11-12,30.1,9,00:19,28
2016-11-13,33.1,9,00:17,33
2016-11-16,33.4,9,00:14,37
2016-11-17,35.5,9,00:16,34
2016-11-18,35.5,9,00:17,32
2016-11-19,34.1,9,00:14,38
2016-11-20,31.9,9,00:17,32
2016-11-21,37.3,5,00:11,26
2016-11-24,42.1,9,00:15,34
2016-11-25,34.7,9,00:18,31
2016-11-25,34.8,9,00:15,34
2016-11-27,32.5,9,00:16,32
2016-11-28,37.9,17,00:45,23
2016-11-29,31.4,20,00:46,27
2016-11-30,33.1,9,00:15,36
2016-12-01,40.6,9,00:19,29
2016-12-02,37.3,9,00:19,28
2016-12-02,40.6,17,00:39,28
2016-12-03,46.7,5,00:22,14
2016-12-03,38.8,9,00:19,28
2016-12-05,41.8,5,00:12,25
2016-12-08,35.8,9,00:15,35
2016-12-09,36.3,9,00:15,34
2016-12-11,31.8,8,00:14,38
2016-12-13,45.5,7,00:17,24
2016-12-15,50.1,3,00:08,23
2016-12-27,50.8,7,00:19,23
2016-12-28,35.7,9,00:12,42
2017-01-09,45.4,6,00:17,23
2017-01-15,40.4,9,00:16,34
2017-01-17,49,3,00:07,28
2017-01-22,39.1,9,00:15,34
2017-01-24,63.4,7,00:36,13
2017-01-25,40.3,10,00:16,39
2017-01-29,42.2,9,00:13,40
2017-02-05,42.4,9,00:15,34
2017-02-07,60.9,7,00:21,20
2017-02-11,35.6,29,00:41,42
2017-02-12,42.1,33,03:46,9
2017-02-17,43.4,38,01:18,29
2017-02-18,41.2,9,00:15,34
2017-02-19,45,9,00:20,27
2017-02-20,51.5,5,00:15,20
2017-02-21,55.2,7,00:18,23
2017-02-22,35,9,00:17,30
2017-02-23,35.4,14,00:29,29
2017-02-24,31.8,9,00:13,41
2017-02-25,34.9,9,00:15,35
2017-02-26,41.6,9,00:20,26
2017-02-27,41.1,5,00:12,24
2017-03-01,34.2,9,00:15,35
2017-03-02,38.3,12,00:22,33
2017-03-03,37.8,9,00:16,33
2017-03-04,41.2,19,00:42,28
2017-03-05,38.2,9,00:17,31
2017-03-06,49.6,5,00:14,21
2017-03-06,38.5,10,00:24,25
2017-03-07,51.8,7,00:18,23
2017-03-08,34.4,9,00:15,35
2017-03-09,29.3,25,00:50,30
2017-03-10,27.2,9,00:14,37
2017-03-12,33.4,8,00:17,31
2017-03-13,37,5,00:11,26
2017-03-15,32.6,9,00:13,39
2017-03-16,37.5,9,00:20,28
2017-03-17,32.5,8,00:16,34
2017-03-19,33.7,8,00:17,30
2017-03-21,32,5,00:12,25
2017-03-22,29.8,8,00:14,36
2017-03-23,29.1,8,00:15,35
2017-03-24,28.5,8,00:14,39
2017-03-25,27.7,9,00:15,34
2017-03-26,29.1,8,00:16,34
2017-03-27,39.9,5,00:13,22
2017-03-29,32.9,9,00:16,32
2017-04-01,31.2,8,00:16,33
2017-04-03,42.5,7,00:19,23
2017-04-06,28.3,19,00:36,33
2017-04-17,36.8,7,00:16,25
2017-04-23,31.3,8,00:13,40
2017-04-29,57.6,2,00:05,22
2017-04-30,33.4,8,00:13,40
2017-05-01,41.2,7,00:20,22
2017-05-08,38.2,11,00:30,23
2017-05-13,66.8,1,00:05,16
2017-05-15,34.2,7,00:19,22
2017-05-16,28.4,14,00:27,31
2017-05-17,30,11,00:26,26
2017-05-20,27.9,8,00:14,37
2017-05-29,34.9,6,00:15,27
2017-05-30,36.7,9,00:32,18
2017-06-01,26.8,14,00:25,33
2017-06-04,28.6,9,00:18,31
2017-06-05,27.9,26,01:10,23
2017-06-11,24.7,15,00:35,27
2017-06-12,35,1,00:05,18
2017-06-16,24.7,5,00:14,25
2017-06-17,23.8,21,00:46,27
2017-06-20,26.2,14,00:22,38
2017-06-20,25.4,10,00:14,45
2017-06-21,31,3,00:10,21
2017-06-23,28.7,3,00:08,26
2017-06-27,27.5,21,00:48,27
2017-07-04,23.8,38,01:01,37
2017-07-05,25,9,00:17,32
2017-07-05,22.7,9,00:16,34
2017-07-06,25.8,14,00:33,27
2017-07-06,25.8,9,00:16,35
2017-07-07,24.9,5,00:12,28
2017-07-07,24.3,9,00:19,28
2017-07-09,24.2,12,00:26,28
2017-07-11,25.9,6,00:17,24
2017-07-12,22.1,9,00:14,40
2017-07-13,25.5,14,00:35,25
2017-07-14,25,11,00:22,30
2017-07-14,23.3,9,00:17,33
2017-07-15,27.1,9,00:21,27
2017-07-16,24.2,9,00:16,34
2017-07-19,25.1,9,00:18,30
2017-07-20,26.5,14,00:38,23
2017-07-20,23,9,00:16,34
2017-07-21,25.5,9,00:19,29
2017-07-21,24.3,9,00:16,35
2017-07-23,25.8,9,00:22,25
2017-07-23,23.9,9,00:18,31
2017-07-24,25.7,22,00:55,24
2017-07-26,30.6,1,00:04,25
2017-07-26,24.5,15,00:29,31
2017-07-27,25.6,5,00:12,25
2017-07-27,24.4,9,00:15,36
2017-07-28,22.9,9,00:20,28
2017-07-29,24.6,9,00:16,34
2017-08-02,23.2,6,00:15,26
2017-08-03,23.9,9,00:18,31
2017-08-04,25.6,9,00:19,29
2017-08-05,23.8,9,00:19,29
2017-08-07,26.9,18,00:52,22
2017-08-10,21.8,9,00:14,38
2017-08-11,23.1,9,00:14,38
2017-08-12,22.5,9,00:15,35
2017-08-13,22.8,9,00:14,39
2017-08-14,26.4,6,00:14,29
2017-08-15,23,32,01:06,29
2017-08-16,23.2,9,00:19,28
2017-08-18,29.9,2,00:11,16
2017-08-18,22.8,9,00:19,29
2017-08-19,22.4,9,00:14,38
2017-08-20,25.4,9,00:22,25
2017-08-21,24.7,37,01:15,30
2017-08-23,23.2,14,00:23,36
2017-08-24,25.8,10,00:25,26
2017-08-24,23.6,9,00:15,36
2017-08-25,25.4,9,00:17,32
2017-08-27,21.8,9,00:14,39
2017-08-28,33.4,8,00:36,14
2017-09-04,27.1,7,00:21,22
2017-09-04,25.6,6,00:14,26
2017-09-06,22.2,16,00:26,39
2017-09-08,24.7,9,00:20,27
2017-09-08,23.1,9,00:20,28
2017-09-09,24.3,8,00:16,32
2017-09-09,22.6,8,00:16,33
2017-09-10,24.2,8,00:17,31
2017-09-11,27.9,14,00:46,19
2017-09-13,23.7,9,00:17,31
2017-09-14,24.1,9,00:19,29
2017-09-15,22.2,9,00:17,32
2017-09-16,23.5,8,00:16,34
2017-09-17,22.9,8,00:16,33
2017-09-18,25.4,19,01:01,19
2017-09-20,22.8,8,00:14,36
2017-09-21,22.8,9,00:19,28
2017-09-22,26.2,9,00:17,33
2017-09-23,27.7,9,00:16,34
2017-09-24,29.3,9,00:18,30
2017-09-25,32.8,5,00:13,23
2017-09-25,39.8,3,00:07,24
2017-09-26,21.4,71,02:22,30
2017-09-26,24.6,62,00:53,70
2017-09-27,24.4,9,00:19,28
2017-09-28,24.6,9,00:22,25
